Points,P2O5,La2O3,Ce2O3,Nd2O3,ThO2,Al2O3,SiO2,CaO,FeO,SO2,MgO,Yb2O3,Y2O3,Gd2O3,Dy2O3
1A,28.49,20.24,33.19,8.75,9.33,,,,,,,,,,
2,31.23,21.09,33.23,7.35,7.1,,,,,,,,,,
3,0,0,13.28,0,0,18.75,36.78,19.28,11.91,0,0,0,0,0,0
4,18.26,27.32,37.66,6.63,7.19,0,0,1.51,0,1.43,0,0,0,0,0
5,17.04,27.49,40.39,8.46,5.45,0,0,1.17,0,0,0,0,0,0,0
6,18.64,28.07,39.38,8.09,5.36,0,0,0,0,0,0,0,0,0,0
7,15.49,28.88,41.39,7.66,6.58,0,0,0,0,0,0,0,0,0,0
8B,18.08,24.23,45.23,12.47,0,0,0,0,0,0,0,0,0,0,0
9,0,33.31,51.44,15.26,0,0,0,0,0,0,0,0,0,0,0
10,0,0,17.69,0,0,17.42,23.11,21.97,19.81,0,0,0,0,0,0
11,0,35.35,50.01,14.64,0,0,0,0,0,0,0,0,0,0,0
12,0,0,20.73,0,0,15.71,23.62,19.02,19.61,0,1.31,0,0,0,0
13,0,11.21,19.27,4.82,0,13.15,18.01,13.44,0,0,0,0,0,0,0
14,0,0,17.45,0,0,19.97,25.04,19.36,18.18,0,0,0,0,0,0
15,33.68,16.46,35.74,14.12,0,0,0,0,0,0,0,0,0,0,0
16,47.44,0,0,0,0,0,3.48,0,0,0,0,2.11,36.9,4.41,5.66
17,0,42.45,33.41,0,0,0,2.34,21.8,0,0,0,0,0,0,0
